book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
228,228333,228333,221139,84,312291639,9780312291630.0,"Emma McLaughlin, Nicola Kraus",2002.0,The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",eng,3.4,323762,328073,5121,17006,43014,116021,95951,56081,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
238,242006,242006,828773,79,031242227X,9780312422270.0,Augusten Burroughs,2002.0,Running with Scissors,Running with Scissors,en-US,3.7,293878,306388,11601,13569,27249,78405,105786,81379,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
248,1622,1622,894834,1379,743477545,9780743477540.0,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,A Midsummer Night's Dream,eng,3.94,334241,361510,5724,5598,20498,84388,130051,120975,https://images.gr-assets.com/books/1327874534m/1622.jpg,https://images.gr-assets.com/books/1327874534s/1622.jpg
251,233093,233093,267087,99,039480001X,9780394800010.0,Dr. Seuss,1957.0,The Cat in the Hat,The Cat in the Hat,eng,4.15,314016,317182,4299,6179,14497,57850,85944,152712,https://images.gr-assets.com/books/1468890477m/233093.jpg,https://images.gr-assets.com/books/1468890477s/233093.jpg
262,19486412,19486412,27570886,107,399167064,9780399167060.0,Liane Moriarty,2014.0,Big Little Lies,Big Little Lies,eng,4.2,306186,371433,30120,3775,7865,49115,159494,151184,https://images.gr-assets.com/books/1492239430m/19486412.jpg,https://images.gr-assets.com/books/1492239430s/19486412.jpg
263,24337,24337,2485462,61,590920685,9780590920680.0,Gail Carson Levine,1997.0,Ella Enchanted,Ella Enchanted,eng,3.97,339117,345749,8534,6619,20066,80272,110568,128224,https://images.gr-assets.com/books/1410727190m/24337.jpg,https://images.gr-assets.com/books/1410727190s/24337.jpg
275,49750,49750,48658,116,525476881,9780525476890.0,John Green,2006.0,An Abundance of Katherines,An Abundance of Katherines,eng,3.63,312754,347424,20657,14225,36867,98115,111740,86477,https://images.gr-assets.com/books/1360206426m/49750.jpg,https://images.gr-assets.com/books/1360206426s/49750.jpg
278,30118,30118,142009,32,60513063,9780060513060.0,Shel Silverstein,1981.0,A Light in the Attic,A Light in the Attic,eng,4.34,297861,304514,2431,3585,7593,38923,85051,169362,https://images.gr-assets.com/books/1427169918m/30118.jpg,https://images.gr-assets.com/books/1427169918s/30118.jpg
283,12067,12067,4110990,114,60853980,9780060853980.0,"Terry Pratchett, Neil Gaiman",1990.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US,4.25,298304,326373,13914,4991,10988,44804,101159,164431,https://images.gr-assets.com/books/1392528568m/12067.jpg,https://images.gr-assets.com/books/1392528568s/12067.jpg
285,16181775,16181775,22084678,122,1476729085,9781476729080.0,Graeme Simsion,2013.0,The Rosie Project,"The Rosie Project (Don Tillman, #1)",eng,4.01,251703,305509,31155,4544,11558,57792,133951,97664,https://images.gr-assets.com/books/1371651741m/16181775.jpg,https://images.gr-assets.com/books/1371651741s/16181775.jpg
290,10335308,10335308,15237902,18,307886263,9780307886260.0,Mindy Kaling,2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),Is Everyone Hanging Out Without Me? (And Other Concerns),eng,3.84,290674,312931,19397,6438,18856,81229,117248,89160,https://images.gr-assets.com/books/1443264638m/10335308.jpg,https://images.gr-assets.com/books/1443264638s/10335308.jpg
294,9520360,9520360,14406312,69,1423140591,9781423140600.0,Rick Riordan,2011.0,The Son of Neptune ,"The Son of Neptune (The Heroes of Olympus, #2)",eng,4.44,299980,316800,12270,1773,4666,30788,93611,185962,https://images.gr-assets.com/books/1464201114m/9520360.jpg,https://images.gr-assets.com/books/1464201114s/9520360.jpg
297,135479,135479,1621115,155,140285601,9780140285600.0,Kurt Vonnegut Jr.,1963.0,Cat's Cradle,Cat's Cradle,eng,4.18,238940,274153,8050,2701,8491,43680,102441,116840,https://images.gr-assets.com/books/1327867150m/135479.jpg,https://images.gr-assets.com/books/1327867150s/135479.jpg
308,33724,33724,2888997,94,440241901,9780440241900.0,Sophie Kinsella,2003.0,Can You Keep a Secret?,Can You Keep a Secret?,en-US,3.83,278747,293801,9510,8003,19319,76244,101810,88425,https://images.gr-assets.com/books/1330464293m/33724.jpg,https://images.gr-assets.com/books/1330464293s/33724.jpg
310,14748,14748,2796838,71,743418174,9780743418170.0,Jennifer Weiner,2001.0,Good in Bed,"Good in Bed (Cannie Shapiro, #1)",en-US,3.7,248804,252305,5500,12137,20336,66587,84488,68757,https://images.gr-assets.com/books/1327936464m/14748.jpg,https://images.gr-assets.com/books/1327936464s/14748.jpg
316,9791,9791,613469,95,307279464,9780307279460.0,Bill Bryson,1997.0,A Walk in the Woods,A Walk in the Woods,eng,4.05,250192,264449,14422,3553,10293,50487,104690,95426,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
320,13526165,13526165,17626728,78,316204277,9780316204280.0,Maria Semple,2012.0,"Where'd You Go, Bernadette","Where'd You Go, Bernadette",eng,3.9,215453,268153,28973,4080,13047,59489,119361,72176,https://images.gr-assets.com/books/1338822317m/13526165.jpg,https://images.gr-assets.com/books/1338822317s/13526165.jpg
324,16068905,16068905,21861351,80,,,Rainbow Rowell,2013.0,,Fangirl,eng,4.12,340379,371730,39353,8626,16973,60097,121431,164603,https://images.gr-assets.com/books/1499565420m/16068905.jpg,https://images.gr-assets.com/books/1499565420s/16068905.jpg
335,6689,6689,2379261,182,375814248,9780375814240.0,"Roald Dahl, Quentin Blake",1961.0,James and the Giant Peach,James and the Giant Peach,eng,3.99,270402,289737,5120,4235,13199,65762,104078,102463,https://images.gr-assets.com/books/1320412586m/6689.jpg,https://images.gr-assets.com/books/1320412586s/6689.jpg
337,13,13,135328,32,345453743,9780345453750.0,Douglas Adams,1996.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,The Ultimate Hitchhiker's Guide to the Galaxy,eng,4.37,222842,238420,4254,2657,6328,26431,66655,136349,https://images.gr-assets.com/books/1404613595m/13.jpg,https://images.gr-assets.com/books/1404613595s/13.jpg
344,4138,4138,2086690,54,316777730,9780316777740.0,David Sedaris,1997.0,Naked,Naked,en-US,4.08,201337,204766,5096,2631,7051,37023,81934,76127,https://images.gr-assets.com/books/1394178867m/4138.jpg,https://images.gr-assets.com/books/1394178867s/4138.jpg
350,7745,7745,1309111,98,679785892,9780679785900.0,"Hunter S. Thompson, Ralph Steadman",1971.0,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Fear and Loathing in Las Vegas,eng,4.08,232489,242140,5021,4730,11381,42362,84094,99573,https://images.gr-assets.com/books/1394204569m/7745.jpg,https://images.gr-assets.com/books/1394204569s/7745.jpg
352,20910157,20910157,40098620,29,62268341,9780062268340.0,Amy Poehler,2014.0,Yes Please,Yes Please,eng,3.81,251082,274223,20301,8886,19000,69227,96483,80627,https://images.gr-assets.com/books/1402815435m/20910157.jpg,https://images.gr-assets.com/books/1402815435s/20910157.jpg
363,6936382,6936382,7168450,79,525423273,9780525423270.0,Stephanie Perkins,2010.0,Anna and the French Kiss,"Anna and the French Kiss (Anna and the French Kiss, #1)",en-US,4.08,259479,285344,26153,10602,14781,46011,84323,129627,https://images.gr-assets.com/books/1358271931m/6936382.jpg,https://images.gr-assets.com/books/1358271931s/6936382.jpg
370,7090447,7090447,7346572,76,1423113381,9781423113390.0,Rick Riordan,2010.0,The Red Pyramid,"The Red Pyramid (Kane Chronicles, #1)",eng,4.06,232791,242889,10914,4565,12571,46486,78216,101051,https://images.gr-assets.com/books/1366227978m/7090447.jpg,https://images.gr-assets.com/books/1366227978s/7090447.jpg
372,10176,10176,2582035,55,965904830,9780965904830.0,David Sedaris,2004.0,Dress Your Family in Corduroy and Denim,Dress Your Family in Corduroy and Denim,eng,4.08,191923,204247,5776,2483,6620,37230,82749,75165,https://images.gr-assets.com/books/1352983006m/10176.jpg,https://images.gr-assets.com/books/1352983006s/10176.jpg
373,6319,6319,1249788,197,141311371,9780141311370.0,"Roald Dahl, Quentin Blake",1982.0,The BFG,The BFG,eng,4.22,245855,264369,7906,2987,7906,42480,86105,124891,https://images.gr-assets.com/books/1327872673m/6319.jpg,https://images.gr-assets.com/books/1327872673s/6319.jpg
374,21,21,2305997,155,076790818X,9780767908180.0,Bill Bryson,2003.0,A Short History of Nearly Everything,A Short History of Nearly Everything,en-US,4.19,191535,206367,9065,3514,7196,29992,71534,94131,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
382,6567017,6567017,6759965,86,525421580,9780525421580.0,"John Green, David Levithan",2010.0,"Will Grayson, Will Grayson","Will Grayson, Will Grayson",eng,3.84,236431,254305,15782,8039,18868,60009,87132,80257,https://images.gr-assets.com/books/1368393890m/6567017.jpg,https://images.gr-assets.com/books/1368393890s/6567017.jpg
392,389627,389627,2617009,115,810993139,9780810993140.0,Jeff Kinney,2004.0,Greg Heffley's Journal,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",en-US,3.96,254852,263269,13337,10196,18564,53471,69722,111316,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
405,4980,4980,2859378,112,385334206,9780385334200.0,Kurt Vonnegut Jr.,1973.0,Breakfast of Champions,Breakfast of Champions,eng,4.08,178154,187177,5265,2137,7189,34421,72558,70872,https://images.gr-assets.com/books/1327934446m/4980.jpg,https://images.gr-assets.com/books/1327934446s/4980.jpg
409,9375,9375,2129359,94,375508414,9780375508420.0,Fannie Flagg,1987.0,Fried Green Tomatoes at the Whistle Stop Cafe,Fried Green Tomatoes at the Whistle Stop Cafe,,4.26,207508,216286,4439,1259,4353,31358,79626,99690,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
411,33722,33722,2914,99,385338694,9780385338690.0,Sophie Kinsella,2005.0,The Undomestic Goddess,The Undomestic Goddess,eng,3.82,200509,209361,6772,4985,13344,56048,75290,59694,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
416,6327,6327,105046,174,590032496,9780590032490.0,"Roald Dahl, Quentin Blake",1983.0,The Witches,The Witches,en-US,4.17,221431,234145,5190,3156,7583,40191,79598,103617,https://images.gr-assets.com/books/1351707720m/6327.jpg,https://images.gr-assets.com/books/1351707720s/6327.jpg
426,310612,310612,968084,131,802130208,9780802130200.0,"John Kennedy Toole, Walker Percy",1980.0,A Confederacy of Dunces,A Confederacy of Dunces,eng,3.89,170776,185391,11881,10993,15078,31369,54306,73645,https://images.gr-assets.com/books/1436747103m/310612.jpg,https://images.gr-assets.com/books/1436747103s/310612.jpg
427,92303,92303,649216,728,158049580X,9781580495810.0,Oscar Wilde,1895.0,The Importance of Being Earnest,The Importance of Being Earnest,eng,4.17,210630,232256,6560,2127,7457,38513,85492,98667,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
428,12127750,12127750,17115055,65,1423140605,9781423140600.0,Rick Riordan,2012.0,The Mark of Athena,"The Mark of Athena (The Heroes of Olympus, #3)",eng,4.47,277491,293586,13332,2771,4480,26318,77876,182141,https://images.gr-assets.com/books/1464201354m/12127750.jpg,https://images.gr-assets.com/books/1464201354s/12127750.jpg
429,34497,34497,194190,153,60855924,9780060855920.0,Terry Pratchett,1983.0,The Colour of Magic,"The Color of Magic (Discworld, #1; Rincewind #1)",eng,3.97,190590,225614,6520,3601,11554,50463,81295,78701,https://images.gr-assets.com/books/1407111017m/34497.jpg,https://images.gr-assets.com/books/1407111017s/34497.jpg
438,6469165,6469165,6659752,68,141043768,9780141043760.0,Liane Moriarty,2009.0,What Alice Forgot,What Alice Forgot,eng,4.05,165704,205778,17382,1599,6071,38562,93941,65605,https://images.gr-assets.com/books/1377159022m/6469165.jpg,https://images.gr-assets.com/books/1377159022s/6469165.jpg
454,767680,767680,3132746,41,60245867,9780060245860.0,"Laura Joffe Numeroff, Felicia Bond",1985.0,If You Give a Mouse a Cookie,If You Give a Mouse a Cookie,en-US,4.24,198083,198778,3016,3208,7772,32336,50573,104889,https://images.gr-assets.com/books/1276046901m/767680.jpg,https://images.gr-assets.com/books/1276046901s/767680.jpg
455,42155,42155,1470371,43,312323867,9780312323870.0,Emily Giffin,2005.0,Something Blue,"Something Blue (Darcy & Rachel, #2)",en-US,3.92,172417,178529,6646,2164,9144,44161,68226,54834,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
459,18774964,18774964,21619954,132,1476738017,9781476738020.0,"Fredrik Backman, Henning Koch",2012.0,En man som heter Ove,A Man Called Ove,eng,4.35,183777,243440,34386,2589,5734,25138,81377,128602,https://images.gr-assets.com/books/1405259930m/18774964.jpg,https://images.gr-assets.com/books/1405259930s/18774964.jpg
465,14758,14758,964332,53,743495667,9780743495660.0,Jennifer Weiner,2002.0,In Her Shoes,In Her Shoes,,3.78,167400,174338,2513,3345,11596,50482,64358,44557,https://images.gr-assets.com/books/1435252471m/14758.jpg,https://images.gr-assets.com/books/1435252471s/14758.jpg
476,7069,7069,1028204,165,345915593,9780345915600.0,John Irving,1978.0,The World According to Garp,The World According to Garp,eng,4.07,167106,179078,4569,3098,7716,31528,67942,68794,https://images.gr-assets.com/books/1447234581m/7069.jpg,https://images.gr-assets.com/books/1447234581s/7069.jpg
484,29059,29059,3185242,84,385720920,9780385720920.0,Chuck Palahniuk,2001.0,Choke,Choke,eng,3.69,154643,162963,5328,4541,13841,46314,60868,37399,https://images.gr-assets.com/books/1403186013m/29059.jpg,https://images.gr-assets.com/books/1403186013s/29059.jpg
495,4953,4953,42857,65,375725784,9780375725780.0,Dave Eggers,2000.0,A Heartbreaking Work of Staggering Genius,A Heartbreaking Work of Staggering Genius,eng,3.68,145459,149779,8673,7877,15434,35148,50148,41172,https://images.gr-assets.com/books/1327714834m/4953.jpg,https://images.gr-assets.com/books/1327714834s/4953.jpg
500,38980,38980,2073907,125,613371658,9780613371650.0,Meg Cabot,2000.0,The Princess Diaries,"The Princess Diaries (The Princess Diaries, #1)",eng,3.76,193140,200671,4289,5442,16659,57732,61651,59187,https://images.gr-assets.com/books/1355011082m/38980.jpg,https://images.gr-assets.com/books/1355011082s/38980.jpg
501,7061,7061,826298,108,1400034779,9781400034770.0,Alexander McCall Smith,1998.0,The No. 1 Ladies' Detective Agency ,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",eng,3.75,180320,189258,9369,6389,14860,49558,66723,51728,https://images.gr-assets.com/books/1459953654m/7061.jpg,https://images.gr-assets.com/books/1459953654s/7061.jpg
509,1358844,1358844,2855627,90,593053893,9780593053900.0,Sophie Kinsella,2008.0,Remember Me?,Remember Me?,eng,3.76,170096,182581,6838,3877,12970,52917,65379,47438,https://images.gr-assets.com/books/1276963901m/1358844.jpg,https://images.gr-assets.com/books/1276963901s/1358844.jpg
524,114683,114683,110426,15,1844137872,9781844137880.0,Banksy,1988.0,Wall and Piece,Wall and Piece,eng,3.83,149453,150117,687,11641,11724,27885,38313,60554,https://images.gr-assets.com/books/1327904853m/114683.jpg,https://images.gr-assets.com/books/1327904853s/114683.jpg
530,12957,12957,2080738,805,743482751,9780743482750.0,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598.0,Much Ado About Nothing,Much Ado About Nothing,eng,4.06,175616,185702,2686,2305,7837,37688,66480,71392,https://images.gr-assets.com/books/1327885569m/12957.jpg,https://images.gr-assets.com/books/1327885569s/12957.jpg
534,1044355,1044355,3255908,47,316143472,9780316143480.0,David Sedaris,2008.0,When You Are Engulfed in Flames,When You Are Engulfed in Flames,en-US,4.04,150898,156976,9013,1847,5695,30933,63930,54571,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
561,378,378,1782584,82,394820371,9780394820380.0,"Norton Juster, Jules Feiffer",1961.0,The Phantom Tollbooth,The Phantom Tollbooth,en-US,4.22,178432,185392,8011,2848,6922,27918,56237,91467,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
564,248704,248704,240980,32,078685197X,9780786851970.0,Ned Vizzini,2006.0,It's Kind of a Funny Story,It's Kind of a Funny Story,en-US,4.14,161001,165713,8461,2018,6246,28680,58548,70221,https://images.gr-assets.com/books/1420629730m/248704.jpg,https://images.gr-assets.com/books/1420629730s/248704.jpg
570,285092,285092,2961887,136,1573225517,9781573225520.0,Nick Hornby,1995.0,High Fidelity,High Fidelity,eng,3.94,134849,150929,4792,1587,6973,34435,63435,44499,https://images.gr-assets.com/books/1327928082m/285092.jpg,https://images.gr-assets.com/books/1327928082s/285092.jpg
574,33313,33313,4219,78,60899220,9780060899230.0,Anthony Bourdain,2000.0,Kitchen Confidential: Adventures in the Culinary Underbelly,Kitchen Confidential: Adventures in the Culinary Underbelly,eng,4.0,134177,145933,7582,1668,5600,30364,61600,46701,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
576,19380,19380,2833018,1039,486266893,9780486266890.0,Voltaire,1759.0,Candide,Candide,eng,3.76,151471,171617,5504,4906,14285,45693,59709,47024,https://images.gr-assets.com/books/1345060082m/19380.jpg,https://images.gr-assets.com/books/1345060082s/19380.jpg
581,13206760,13206760,18390691,64,312642962,9780312642970.0,Marissa Meyer,2013.0,Scarlet,"Scarlet (The Lunar Chronicles, #2)",eng,4.3,193766,213010,23054,1250,3669,25696,81461,100934,https://images.gr-assets.com/books/1470056982m/13206760.jpg,https://images.gr-assets.com/books/1470056982s/13206760.jpg
